user_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,groupId
user_11099,1,5,1,2,4,8,3,1,9,3,251
user_85772,6,1,3,1,8,9,8,8,9,3,251
user_70078,9,1,2,2,2,9,2,2,3,6,251
user_76723,5,8,9,10,6,6,5,4,2,5,251
user_11429,2,4,8,7,1,1,8,2,7,2,252
user_22730,7,4,1,10,9,7,2,10,9,4,252
user_67274,10,9,2,7,5,10,1,6,7,2,252
user_70170,4,1,4,3,9,4,6,6,4,2,252
user_91589,6,9,9,5,10,10,7,2,7,7,253
user_38855,3,9,7,7,1,3,7,3,7,2,253
user_39375,5,6,4,6,6,1,10,8,10,3,253
user_21821,7,3,10,6,2,5,6,9,7,1,253
user_36827,2,2,2,1,7,7,3,7,4,2,253
user_87838,2,10,9,10,10,7,3,4,7,10,253
user_94537,8,3,3,2,2,3,2,4,6,6,253
user_49406,3,3,7,7,9,3,8,8,6,4,253
user_46435,5,1,6,3,5,4,8,6,2,10,254
user_65030,8,8,1,2,4,9,5,10,4,3,254
user_63417,1,6,10,3,7,4,1,4,2,3,254
user_38644,6,7,8,8,3,8,1,6,3,10,254
user_18135,9,2,6,4,1,8,10,7,4,6,254
user_92579,10,3,4,1,6,1,2,10,9,2,254
user_31852,9,4,8,7,6,6,9,6,3,6,254
user_90598,2,3,7,8,8,7,10,7,3,7,254
user_35508,5,1,8,1,8,4,6,2,6,8,255
user_35983,6,10,1,5,10,5,5,10,7,4,255
user_41888,1,2,3,2,8,2,3,7,1,1,256
user_87972,3,9,2,5,3,3,1,5,9,9,256
user_57198,5,10,1,7,1,7,5,10,7,5,256
user_70829,3,7,7,5,8,9,2,5,7,5,256
user_96217,1,10,4,7,5,6,10,8,5,3,257
user_99158,6,6,7,8,9,7,8,8,2,6,257
user_18940,8,1,7,10,7,8,1,3,4,4,257
user_69035,8,2,9,5,7,2,9,9,5,4,257
user_11486,8,6,2,3,1,9,4,10,3,8,258
user_76054,9,1,1,2,6,1,1,10,3,6,258
user_39493,2,5,6,3,9,2,9,6,4,4,258
user_64910,6,9,10,1,1,9,5,3,10,9,258
user_23822,9,9,2,7,4,2,1,2,7,8,259
user_93043,4,10,8,8,6,7,6,1,6,6,259
user_29889,10,10,3,8,2,6,4,10,1,3,259
user_11520,8,1,1,7,1,5,6,5,4,7,259
user_34411,9,7,5,9,3,10,5,1,6,2,259
user_31034,3,9,9,4,9,9,9,1,2,3,259
user_73515,8,7,7,2,9,8,9,5,3,8,259
user_53054,10,7,7,8,6,4,8,3,2,2,259
user_34125,3,7,1,6,7,6,9,4,3,10,260
user_77954,8,10,9,9,2,9,6,3,5,3,260
user_65413,5,7,6,3,5,3,1,9,3,10,260
user_41780,5,7,7,9,7,10,10,7,10,9,260
user_78392,2,3,5,1,9,2,3,3,9,6,260
user_50550,4,3,10,6,9,3,10,4,2,2,260
user_60511,4,6,6,9,7,3,7,8,3,6,260
user_30612,6,5,7,3,2,7,7,8,1,10,260
user_79438,9,2,3,3,10,9,1,2,6,3,261
user_23599,3,3,4,6,6,3,4,5,4,5,261
user_69245,10,10,2,3,2,2,6,10,3,2,262
user_62813,7,9,4,9,9,2,4,9,5,9,262
user_61313,7,2,2,5,10,9,8,6,5,3,262
user_12346,6,6,6,5,2,10,4,7,9,10,262
user_78626,6,2,3,8,2,6,8,4,8,4,262
user_21824,6,9,7,10,3,3,6,9,2,5,262
user_38501,1,5,8,4,8,10,4,5,1,5,262
user_50741,3,5,1,3,6,9,4,7,2,7,262
user_62562,1,3,2,4,6,8,1,7,8,4,263
user_61054,10,6,1,5,2,4,2,5,2,10,263
user_58329,2,2,6,4,6,4,7,5,4,6,263
user_83006,5,8,6,3,2,7,7,10,10,2,263
user_79651,6,5,5,2,2,10,6,8,1,2,264
user_53944,9,8,8,7,1,5,10,5,1,10,264
user_23855,1,2,6,6,9,1,4,10,5,5,264
user_37453,1,1,2,5,3,9,1,9,5,7,264
user_42682,6,8,10,7,10,10,9,4,6,9,265
user_30218,9,10,7,5,4,2,1,3,4,1,265
user_21855,10,6,6,8,7,5,6,1,10,6,265
user_77392,10,7,8,1,6,9,8,9,3,5,265
user_57246,4,1,9,10,1,3,5,5,4,9,266
user_17693,2,7,4,7,1,8,10,1,3,10,266
user_31032,6,4,10,8,7,4,5,4,9,10,267
user_77640,10,3,4,5,2,10,6,7,8,7,267
user_77617,3,8,9,8,3,3,2,1,2,4,267
user_70155,2,2,6,6,10,8,5,10,2,2,267
user_43382,6,9,5,6,5,2,6,9,5,3,268
user_12859,2,6,5,3,7,3,5,9,10,8,268
user_43543,5,3,10,5,3,4,9,1,2,10,268
user_47864,8,9,3,6,1,8,5,2,5,7,268
user_34226,1,8,9,10,7,8,9,1,4,8,268
user_53884,9,1,10,2,3,10,6,2,8,6,268
user_43692,10,4,7,2,7,3,6,8,7,6,268
user_55399,10,3,8,2,1,6,1,5,6,4,268
user_43155,8,4,1,10,9,7,9,5,5,10,269
user_54356,6,7,1,8,5,10,2,7,3,7,269
user_82478,2,6,3,3,9,4,8,2,9,9,269
user_65651,10,4,1,8,2,7,6,10,3,1,269
user_86602,7,5,7,1,3,2,10,6,5,8,269
user_81832,3,1,6,1,8,4,2,7,10,8,269
user_99349,5,4,1,6,7,6,6,5,8,4,269
user_19552,4,8,6,9,4,1,10,9,6,4,269
user_75177,1,2,3,9,8,2,7,10,6,5,270
user_98735,3,10,5,1,2,1,6,9,6,7,270
user_75691,7,2,5,2,10,3,4,9,6,1,271
user_49968,4,7,5,8,7,9,8,10,5,1,271
user_17379,8,10,7,1,4,3,2,2,9,1,271
user_60489,2,2,9,4,8,7,3,4,6,7,271
user_75182,10,6,5,6,6,5,1,9,2,9,271
user_33258,9,5,5,5,5,9,10,6,3,4,271
user_11940,6,4,6,5,9,5,3,9,4,4,271
user_27977,7,2,5,10,7,2,10,9,2,4,271
user_43010,4,4,10,3,7,10,3,1,5,3,272
user_23904,5,7,7,5,1,2,10,10,6,9,272
user_80194,6,6,1,1,1,2,8,6,2,4,272
user_70509,6,8,9,1,7,4,9,8,4,2,272
user_34085,10,6,10,8,5,1,4,4,2,2,273
user_71578,6,8,6,6,9,8,1,8,7,9,273
user_52023,10,5,6,2,9,3,10,4,2,6,273
user_30785,7,6,10,9,2,6,8,9,4,9,273
user_51439,3,1,6,4,9,4,8,9,9,1,274
user_24777,3,8,1,9,3,10,6,5,1,1,274
user_23810,1,7,9,8,10,3,7,2,8,8,275
user_31790,7,5,8,3,10,8,4,2,8,7,275
user_70978,2,4,10,3,5,4,5,4,1,5,276
user_56478,8,2,1,3,3,7,6,10,2,10,276
user_15199,1,3,2,10,3,7,4,10,10,8,277
user_15835,7,2,2,7,2,5,10,9,2,9,277
user_48099,5,1,9,5,9,1,2,10,7,7,277
user_84569,1,5,4,2,9,3,9,5,8,5,277
user_54000,9,6,10,6,1,10,6,3,5,7,277
user_17181,6,9,9,5,9,2,10,2,10,8,277
user_30626,5,3,8,2,10,5,4,9,8,1,277
user_83474,3,3,7,9,3,9,7,1,5,1,277
user_87714,8,10,2,3,10,9,10,5,2,8,278
user_94676,1,9,3,1,4,1,4,5,9,4,278
user_10071,7,10,10,3,7,8,2,3,8,6,279
user_62139,7,8,2,1,5,7,9,5,7,6,279
user_44198,5,9,7,5,3,2,4,4,10,6,279
user_12472,4,10,8,4,5,3,10,9,9,4,279
user_75632,8,1,6,3,1,10,10,4,9,4,279
user_75392,4,3,2,9,2,2,8,4,1,10,279
user_42176,6,3,5,9,8,7,4,2,9,4,279
user_85961,4,10,9,3,9,6,3,9,1,3,279
user_48560,2,6,2,4,8,3,7,3,8,5,280
user_65477,3,3,5,2,9,5,7,4,8,10,280
user_47166,9,1,7,7,4,6,1,3,2,1,280
user_12072,3,8,8,4,7,5,8,2,3,9,280
user_31814,10,10,1,1,9,9,7,1,4,10,281
user_84192,1,7,4,9,9,5,8,8,3,1,281
user_28964,8,3,1,10,2,5,7,10,7,4,281
user_37716,9,10,1,1,10,5,3,4,6,3,281
user_17809,4,7,2,4,7,8,10,10,7,6,281
user_90647,8,8,7,3,7,3,8,6,5,7,281
user_71284,10,6,7,4,4,6,2,5,9,2,281
user_31460,8,4,3,8,9,1,5,10,10,1,281
user_73383,6,3,1,10,7,1,6,6,5,10,282
user_60373,10,6,3,6,2,9,7,10,1,7,282
user_59898,1,1,6,7,3,7,6,5,6,9,282
user_82153,9,10,6,4,1,2,8,3,4,2,282
user_44150,10,6,5,8,5,7,1,7,5,9,283
user_24474,9,10,8,3,3,4,4,8,5,6,283
user_34934,1,8,10,5,1,4,4,10,7,7,283
user_88851,3,9,7,4,4,3,4,10,8,8,283
user_34249,9,8,2,10,5,4,10,5,2,10,284
user_61141,8,6,3,4,10,7,5,2,3,8,284
user_95287,6,2,7,7,7,3,5,9,9,4,284
user_36764,6,9,7,4,7,3,1,9,5,6,284
user_82089,3,9,2,8,4,5,4,10,6,1,285
user_42057,7,1,1,6,8,3,5,10,9,8,285
user_37399,7,8,8,8,1,8,7,2,6,2,286
user_72411,8,1,1,6,5,9,2,5,8,8,286
user_93930,3,1,1,5,9,7,1,4,8,6,286
user_94688,5,3,10,8,3,8,10,2,1,7,286
user_25220,4,10,8,5,1,10,3,9,5,7,287
user_51947,7,5,9,2,4,6,4,9,9,7,287
user_70680,8,8,9,1,7,4,8,8,4,7,287
user_73916,2,9,3,8,6,5,2,4,2,4,287
user_66065,7,3,5,5,7,1,8,5,6,1,287
user_22147,9,6,7,9,1,1,10,9,9,10,287
user_75291,1,10,7,5,2,1,4,7,5,10,287
user_80256,8,4,3,5,1,6,10,8,2,5,287
user_28162,1,6,2,6,5,7,8,5,8,9,288
user_25796,3,7,2,2,1,3,4,1,1,6,288
user_37363,4,2,10,1,3,9,4,5,9,7,289
user_37165,9,4,9,7,2,9,4,7,9,1,289
user_74677,4,10,6,9,5,5,5,7,1,1,289
user_95291,1,4,6,9,2,5,6,6,8,8,289
user_60887,1,9,4,4,4,3,1,2,5,2,290
user_66507,5,2,9,3,8,3,3,10,5,9,290
user_39453,5,3,6,3,10,2,5,4,4,9,291
user_93126,1,8,3,3,2,7,7,4,7,7,291
user_92406,5,2,10,5,7,5,8,8,4,8,291
user_37463,1,10,2,3,9,10,9,9,9,4,291
user_27896,10,9,8,4,5,3,1,10,10,10,292
user_73566,4,10,1,8,9,2,9,2,6,6,292
user_75307,8,7,1,4,9,8,7,9,1,3,292
user_87887,9,10,3,1,6,3,9,3,7,1,292
user_66820,7,1,8,6,5,9,1,1,2,9,292
user_88707,9,6,4,6,3,9,6,1,5,1,292
user_66241,4,7,2,5,4,8,3,8,7,6,292
user_99741,3,6,10,10,7,6,1,4,9,5,292
user_14339,8,2,3,5,6,7,6,2,3,10,293
user_54735,7,9,3,7,2,1,1,6,8,3,293
user_96115,8,1,10,6,1,10,2,5,8,10,293
user_17598,5,8,6,10,3,4,7,4,7,10,293
user_16115,10,4,6,9,6,7,2,1,9,5,293
user_34078,2,6,2,2,10,10,1,4,5,6,293
user_61974,4,10,6,2,6,10,2,6,5,1,293
user_33533,9,10,10,3,2,6,2,3,10,4,293
user_44219,1,10,4,1,7,9,8,8,1,9,294
user_33634,4,1,8,5,7,2,4,2,4,8,294
user_86067,5,6,7,5,9,6,5,5,7,7,294
user_66315,5,3,10,6,8,7,9,4,8,8,294
user_14349,10,6,2,7,1,7,4,10,2,1,295
user_56221,4,2,3,1,6,6,10,10,4,2,295
user_79679,9,1,10,10,2,10,4,7,9,10,296
user_13789,9,10,9,2,10,4,9,4,4,1,296
user_12847,6,9,3,8,8,10,4,4,2,8,296
user_32850,6,2,3,5,1,7,9,1,6,6,296
user_36145,5,10,7,4,5,1,2,1,3,1,296
user_27517,8,2,1,6,2,6,6,1,7,9,296
user_15930,7,8,6,8,2,10,2,3,10,9,296
user_61612,6,8,10,10,7,4,10,7,6,5,296
user_16689,1,8,1,6,9,10,5,1,2,6,297
user_85736,7,9,5,8,8,8,6,7,8,6,297
user_57826,6,6,3,3,9,1,5,6,6,8,297
user_10649,8,10,9,6,1,8,9,8,9,8,297
user_80847,1,4,10,3,3,1,5,6,8,6,297
user_79146,9,2,10,9,1,4,3,4,10,1,297
user_27558,6,8,9,10,8,8,9,10,4,8,297
user_16583,5,7,1,9,6,9,5,9,10,9,297
user_24195,2,9,3,4,4,6,8,10,7,3,298
user_87478,3,5,5,2,1,2,3,3,3,10,298
user_68951,4,4,5,2,8,2,6,2,2,1,298
user_34349,7,3,2,8,5,5,9,8,5,4,298
user_50083,1,10,1,8,9,7,10,8,8,8,299
user_61895,6,2,7,6,6,9,6,5,9,8,299
user_37561,5,9,2,6,5,5,5,4,8,10,299
user_32860,6,4,2,1,6,5,10,8,2,5,299
user_65655,6,5,9,9,3,7,7,4,1,1,299
user_93555,1,9,3,10,1,8,3,8,3,10,299
user_87370,1,7,10,7,10,7,6,8,6,8,299
user_62593,4,9,2,3,6,3,10,1,5,9,299
user_65709,8,3,8,5,5,1,10,9,7,10,300
user_30883,5,8,1,3,4,2,10,5,5,6,300
user_58822,3,7,2,4,7,9,1,3,6,9,301
user_91676,9,2,8,10,10,7,3,4,4,4,301
user_48201,9,2,2,4,7,8,7,7,4,6,301
user_59465,3,4,6,3,2,2,2,1,8,8,301
user_88483,4,2,10,10,10,5,8,10,7,10,302
user_11596,8,2,7,3,5,3,2,5,10,3,302
user_77244,6,10,10,6,3,7,3,3,2,9,302
user_44528,3,2,3,3,8,4,5,1,5,1,302
user_16152,4,3,2,9,6,6,8,7,2,5,303
user_43418,3,9,5,3,2,7,7,1,2,9,303
user_96368,10,7,4,7,5,3,4,3,6,2,303
