user_id,item_1,item_2,item_3,item_4,item_5,groupId
user_88016,2,1,5,1,2,1
user_31018,8,3,1,9,3,1
user_50459,6,1,3,1,8,1
user_66980,8,8,9,3,9,1
user_15018,2,2,9,2,2,2
user_18115,6,10,5,8,9,2
user_82420,6,6,5,4,2,2
user_36768,5,2,2,4,8,2
user_93850,7,1,1,8,2,2
user_56335,2,3,7,4,1,2
user_79848,9,7,2,10,9,2
user_33653,9,10,9,2,7,2
user_76618,1,6,7,2,1,3
user_96393,9,4,1,4,3,3
user_71587,4,6,6,4,2,3
user_66905,6,9,9,5,10,3
user_84338,10,7,2,7,7,4
user_94932,5,3,9,7,7,4
user_19995,7,3,7,2,5,4
user_36756,6,4,6,6,1,4
user_77132,8,10,3,3,7,4
user_22939,10,6,2,5,6,4
user_66774,7,1,1,5,2,4
user_96169,2,2,1,7,7,4
user_57749,4,2,2,10,9,5
user_78033,10,7,3,4,7,5
user_75952,8,3,3,2,2,6
user_98107,3,2,4,6,6,6
user_87991,6,3,3,7,7,6
user_72164,3,8,8,6,4,6
user_89128,6,5,1,6,3,6
user_34723,4,8,6,2,10,6
user_81854,8,8,8,1,2,6
user_32328,9,5,10,4,3,6
user_30309,8,1,6,10,3,7
user_50656,4,1,4,2,3,7
user_48378,7,8,8,3,8,8
user_48235,3,10,3,9,2,8
user_85618,6,4,1,8,10,8
user_56452,4,6,10,3,4,8
user_47239,1,2,10,9,2,9
user_26663,4,9,4,8,7,9
user_44838,6,9,6,3,6,10
user_81206,2,3,7,8,8,10
user_55103,10,7,3,7,3,10
user_16359,5,5,1,8,1,10
user_58398,4,6,2,6,8,10
user_75776,5,6,10,1,5,10
user_75516,5,5,10,7,4,10
user_37966,5,1,2,3,2,10
user_25125,7,1,1,3,9,11
user_16035,5,3,3,1,5,11
user_87452,9,9,7,5,10,11
user_53248,1,7,5,10,7,11
user_32207,9,3,7,7,5,12
user_62678,9,2,5,7,5,12
user_99393,5,1,10,4,7,12
user_35621,6,10,8,5,3,12
user_96154,6,6,7,8,9,13
user_56673,8,8,2,6,3,13
user_64283,1,7,10,7,8,13
user_20507,4,4,9,8,2,13
user_69890,5,7,2,9,9,13
user_35879,4,5,2,8,6,13
user_13284,3,1,9,4,10,13
user_17524,8,10,9,1,1,13
user_17275,6,1,1,10,3,14
user_97134,6,5,2,5,6,14
user_22424,9,2,9,6,4,14
user_83303,4,8,6,9,10,14
user_99425,1,1,9,5,3,14
user_89296,10,9,3,9,9,14
user_17058,7,4,2,1,2,14
user_86613,7,8,4,10,8,14
user_58814,6,7,6,1,6,15
user_83727,6,4,10,10,3,15
user_66187,2,6,4,10,1,15
user_18520,1,2,8,1,1,15
user_52470,1,5,6,5,4,15
user_53811,5,9,7,5,9,15
user_24148,10,5,1,6,2,15
