groupId,group_size,num_items,strategy,gold_label,phi
751,4,50,LMS,['item_21'],"['item_1', 'item_8', 'item_49']"
752,2,50,ADD,['item_33'],"['item_3', 'item_48']"
753,4,50,APP,['item_17'],"['Item_16', 'Item_25', 'Item_30', 'Item_33', 'Item_36', 'Item_39', 'Item_42', 'Item_45', 'Item_48']"
754,8,50,ADD,['item_1'],['item_1']
755,4,50,ADD,['item_18'],"['item_1', 'item_3']"
756,2,50,ADD,"['item_13', 'item_22', 'item_29']",['item_1']
758,2,50,ADD,"['item_17', 'item_18']",['item_8']
759,8,50,LMS,['item_31'],['item_45']
760,8,50,ADD,['item_8'],['item_8']
761,4,50,APP,['item_45'],"['item_1', 'item_6', 'item_7', 'item_9']"
762,4,50,ADD,"['item_15', 'item_22']","['item_37', 'item_43', 'item_49']"
763,8,50,ADD,"['item_12', 'item_15']",['item_1']
764,2,50,ADD,['item_33'],['item_44']
766,2,50,ADD,['item_16'],['item_1']
767,4,50,ADD,"['item_33', 'item_42']","['item_2', 'item_6', 'item_7']"
768,8,50,APP,"['item_19', 'item_28', 'item_4']","['item_2', 'item_4']"
769,4,50,MPL,"['item_16', 'item_17', 'item_19', 'item_22', 'item_24', 'item_25', 'item_27', 'item_29', 'item_37', 'item_39', 'item_43', 'item_47', 'item_48', 'item_49', 'item_50', 'item_6', 'item_9']","['item_6', 'item_44', 'item_49']"
770,4,50,APP,['item_46'],"['item_3', 'item_46']"
771,2,50,ADD,"['item_43', 'item_44']","['item_43', 'item_44']"
772,4,50,APP,"['item_14', 'item_17', 'item_33']",['item_42']
773,8,50,MPL,"['item_1', 'item_10', 'item_16', 'item_17', 'item_18', 'item_19', 'item_2', 'item_20', 'item_23', 'item_24', 'item_27', 'item_3', 'item_30', 'item_31', 'item_32', 'item_33', 'item_36', 'item_37', 'item_38', 'item_39', 'item_41', 'item_47', 'item_48', 'item_5', 'item_50', 'item_6', 'item_9']","['item_1', 'item_2', 'item_3', 'item_5', 'item_6', 'item_9']"
774,2,50,LMS,['item_30'],['item_47']
775,2,50,ADD,"['item_18', 'item_20', 'item_26']","['item_3', 'item_7']"
