groupId,group_size,num_items,strategy,gold_label,phi
751,4,50,LMS,['item_21'],['item_41']
753,4,50,APP,['item_17'],"['Item_5', 'Item_8', 'Item_16', 'Item_30', 'Item_34', 'Item_44', 'Item_45']"
754,8,50,ADD,['item_1'],"['[""item_40""]']"
755,4,50,ADD,['item_18'],"['[""item_5""]']"
756,2,50,ADD,"['item_13', 'item_22', 'item_29']",['item_13']
758,2,50,ADD,"['item_17', 'item_18']",['item_50']
759,8,50,ADD,['item_30'],['item_28']
761,4,50,MPL,"['item_1', 'item_12', 'item_15', 'item_18', 'item_2', 'item_20', 'item_21', 'item_24', 'item_30', 'item_33', 'item_36', 'item_40', 'item_41', 'item_45', 'item_48', 'item_50', 'item_7', 'item_9']","['[""item_9"", ""item_15"", ""item_18"", ""item_20"", ""item_33"", ""item_41"", ""item_45""]']"
763,8,50,ADD,"['item_12', 'item_15']","['item_15', 'item_21', 'item_41', 'item_44']"
765,8,50,MPL,"['item_10', 'item_11', 'item_12', 'item_13', 'item_14', 'item_15', 'item_16', 'item_17', 'item_18', 'item_23', 'item_24', 'item_25', 'item_26', 'item_28', 'item_29', 'item_3', 'item_30', 'item_32', 'item_33', 'item_36', 'item_37', 'item_38', 'item_39', 'item_41', 'item_45', 'item_49', 'item_5', 'item_50', 'item_7']","['[""item_37"", ""item_45""]']"
766,2,50,LMS,['item_16'],['item_16']
767,4,50,ADD,"['item_33', 'item_42']","['item_16', 'item_30']"
768,8,50,APP,"['item_19', 'item_28', 'item_4']","['Item_4', 'Item_6', 'Item_10', 'Item_14', 'Item_18', 'Item_27', 'Item_42']"
769,4,50,ADD,['item_25'],"['[""item_47""]']"
770,4,50,MPL,"['item_14', 'item_17', 'item_20', 'item_22', 'item_23', 'item_26', 'item_31', 'item_33', 'item_35', 'item_38', 'item_39', 'item_45', 'item_46', 'item_5', 'item_6', 'item_8']","['item_33', 'item_35', 'item_39', 'item_45', 'item_46']"
771,2,50,MPL,"['item_27', 'item_29', 'item_3', 'item_37', 'item_39', 'item_4', 'item_43', 'item_44', 'item_5', 'item_6', 'item_9']","['item_3', 'item_4', 'item_5', 'item_6', 'item_9', 'item_37', 'item_39', 'item_43', 'item_44']"
772,4,50,MPL,"['item_1', 'item_14', 'item_15', 'item_17', 'item_22', 'item_23', 'item_24', 'item_25', 'item_26', 'item_30', 'item_31', 'item_33', 'item_38', 'item_39', 'item_42', 'item_45', 'item_48', 'item_50', 'item_6', 'item_8']","['item_6', 'item_17', 'item_22', 'item_23', 'item_24', 'item_26', 'item_45', 'item_49']"
