groupId,group_size,num_items,strategy,gold_label,phi
751,4,50,LMS,['item_21'],['item_10']
752,2,50,ADD,['item_33'],['item_33']
754,8,50,ADD,['item_1'],"['item_35', 'item_46']"
755,4,50,LMS,"['item_18', 'item_33']","['item_1', 'item_8', 'item_14']"
756,2,50,ADD,"['item_13', 'item_22', 'item_29']","['Item_13', 'Item_22', 'Item_29']"
757,8,50,APP,['item_10'],['item_34']
758,2,50,ADD,"['item_17', 'item_18']","['item_17', 'item_18']"
759,8,50,ADD,['item_30'],['item_40']
760,8,50,ADD,['item_8'],['item_36']
761,4,50,LMS,['item_45'],"['item_13', 'item_22']"
762,4,50,ADD,"['item_15', 'item_22']","['item_4', 'item_11']"
763,8,50,ADD,"['item_12', 'item_15']",['item_44']
764,2,50,APP,"['item_17', 'item_28', 'item_33', 'item_44', 'item_6']","['item_6', 'item_17', 'item_22', 'item_23', 'item_26', 'item_27', 'item_30', 'item_31', 'item_34', 'item_35', 'item_38', 'item_39', 'item_42', 'item_43', 'item_46', 'item_47', 'item_50']"
766,2,50,APP,"['item_1', 'item_10', 'item_13', 'item_14', 'item_16', 'item_18', 'item_21', 'item_23', 'item_24', 'item_25', 'item_34', 'item_35', 'item_40', 'item_46', 'item_6']","['Item_1', 'Item_6', 'Item_10', 'Item_13', 'Item_14', 'Item_16', 'Item_18', 'Item_21']"
767,4,50,ADD,"['item_33', 'item_42']",['item_48']
768,8,50,APP,"['item_19', 'item_28', 'item_4']",['item_31']
769,4,50,MPL,"['item_16', 'item_17', 'item_19', 'item_22', 'item_24', 'item_25', 'item_27', 'item_29', 'item_37', 'item_39', 'item_43', 'item_47', 'item_48', 'item_49', 'item_50', 'item_6', 'item_9']","['item_6', 'item_9', 'item_18', 'item_19', 'item_23', 'item_27', 'item_31', 'item_36', 'item_43', 'item_47', 'item_48', 'item_49', 'item_50']"
770,4,50,LMS,['item_46'],"['item_8', 'item_12', 'item_26', 'item_35']"
771,2,50,ADD,"['item_43', 'item_44']","['Item_5', 'Item_27']"
773,8,50,ADD,['item_5'],['item_36']
774,2,50,MPL,"['item_12', 'item_14', 'item_24', 'item_3', 'item_30', 'item_33', 'item_41', 'item_47', 'item_5', 'item_50']","['item_3', 'item_5', 'item_12', 'item_14', 'item_24', 'item_30', 'item_33', 'item_41', 'item_44']"
775,2,50,MPL,"['item_11', 'item_18', 'item_20', 'item_22', 'item_26', 'item_32', 'item_34', 'item_35', 'item_36', 'item_45', 'item_50', 'item_8']","['item_18', 'item_20', 'item_26', 'item_38']"
776,2,50,MPL,"['item_11', 'item_15', 'item_2', 'item_24', 'item_25', 'item_28', 'item_29', 'item_30', 'item_37', 'item_39', 'item_4', 'item_6']","['item_2', 'item_4', 'item_6', 'item_11', 'item_15', 'item_24', 'item_25', 'item_28', 'item_29', 'item_30', 'item_37', 'item_39', 'item_44']"
777,2,50,APP,"['item_10', 'item_16', 'item_17', 'item_44', 'item_6']","['item_6', 'item_10', 'item_16', 'item_17']"
778,2,50,ADD,['item_36'],['item_36']
779,8,50,ADD,['item_3'],['item_40']
780,4,50,ADD,['item_10'],['item_10']
781,2,50,ADD,['item_15'],['item_15']
782,4,50,ADD,['item_9'],['item_9']
783,4,50,ADD,['item_9'],['item_9']
786,8,50,LMS,"['item_21', 'item_31']",['item_4']
787,8,50,MPL,"['item_14', 'item_15', 'item_16', 'item_19', 'item_2', 'item_20', 'item_21', 'item_22', 'item_23', 'item_24', 'item_26', 'item_27', 'item_28', 'item_30', 'item_32', 'item_33', 'item_35', 'item_39', 'item_4', 'item_40', 'item_41', 'item_43', 'item_44', 'item_45', 'item_46', 'item_47', 'item_48', 'item_49', 'item_50', 'item_8']","['item_1', 'item_5', 'item_8', 'item_11', 'item_15', 'item_19', 'item_22', 'item_25', 'item_28', 'item_35', 'item_41', 'item_47']"
788,8,50,LMS,['item_46'],"['item_16', 'item_21']"
790,4,50,LMS,"['item_12', 'item_8']",['item_3']
791,2,50,APP,"['item_13', 'item_2', 'item_21', 'item_22', 'item_30', 'item_32', 'item_37', 'item_41', 'item_48', 'item_5', 'item_7']","['Item_2', 'Item_5', 'Item_7', 'Item_13', 'Item_21', 'Item_22', 'Item_28']"
792,4,50,ADD,['item_40'],['item_4']
793,2,50,LMS,"['item_15', 'item_31']",['item_15']
794,8,50,LMS,['item_17'],"['[""item_4""]']"
795,4,50,ADD,['item_4'],['item_4']
796,8,50,ADD,['item_18'],['item_42']
798,2,50,MPL,"['item_12', 'item_15', 'item_2', 'item_22', 'item_4', 'item_44', 'item_45', 'item_46', 'item_47', 'item_9']","['item_2', 'item_4', 'item_9']"
799,4,50,MPL,"['item_10', 'item_14', 'item_15', 'item_17', 'item_20', 'item_22', 'item_25', 'item_26', 'item_28', 'item_29', 'item_30', 'item_36', 'item_38', 'item_4', 'item_42', 'item_50', 'item_9']","['item_4', 'item_11']"
800,2,50,ADD,['item_22'],['Item_22']
801,4,50,ADD,['item_47'],['item_49']
802,2,50,MPL,"['item_14', 'item_15', 'item_19', 'item_22', 'item_31', 'item_32', 'item_35', 'item_41', 'item_45', 'item_7']","['item_7', 'item_14', 'item_15', 'item_19', 'item_22', 'item_30']"
803,4,50,ADD,['item_12'],['item_12']
804,4,50,MPL,"['item_1', 'item_16', 'item_17', 'item_2', 'item_25', 'item_26', 'item_29', 'item_3', 'item_31', 'item_32', 'item_38', 'item_48', 'item_8']","['item_1', 'item_2', 'item_3', 'item_8', 'item_16', 'item_21', 'item_28', 'item_32', 'item_38', 'item_48']"
