groupId,group_size,num_items,strategy,gold_label,phi
751,4,50,ADD,['Three Little Bops (1957)'],['Resan Till Melonia (1989)']
752,2,50,LMS,['Coraline (2009)'],['Resan Till Melonia (1989)']
753,4,50,ADD,['Death Metal Angola (2014)'],"['Headfirst (2014)', '4th Period Mystery (2009)']"
754,8,50,LMS,"['Deprogrammed (2015)', 'Urban Warriors (1987)']",['The Moonstone (1997)']
755,4,50,LMS,"['Café Derby (2015)', 'Resan Till Melonia (1989)']","['Carcinoma (2014)', 'Museum (2016)']"
756,2,50,MPL,"['Choose or Die (2022)', 'Coraline (2009)', 'Deprogrammed (2015)', 'Jolly Fellows (2009)', 'Lilting (2014)', 'Museum (2016)', 'Too Beautiful for You (Trop belle pour toi) (1989)', 'Urban Warriors (1987)', 'Wild Geese, The (1978)']","['Deprogrammed (2015)', 'Jolly Fellows (2009)']"
757,8,50,APP,"['Jazz Singer, The (1980)']","['The Last Laugh (2023)', 'The Silent Echo (2020)']"
758,2,50,LMS,"['Death Metal Angola (2014)', 'Khottabych (2006)']","['Wild Geese, The (1978)']"
759,8,50,MPL,"['4th Period Mystery (2009)', 'Carcinoma (2014)', 'Deprogrammed (2015)', 'Feather (2016)', 'Flickering Lights (Blinkende lygter) (2000)', 'Freedomfighters (Libertarias) (1996)', 'Friendship! (2010)', 'Gosford Park (2001)', 'Headfirst (2014)', 'Jolly Fellows (2009)', 'Just Before Losing Everything (2013)', 'Last of the Red Hot Lovers (1972)', 'Lilting (2014)', 'Little Murder (2011)', 'Love Serenade (1996)', 'Mumbai Police (2013)', 'Museum (2016)', 'Resan Till Melonia (1989)', 'Shirin in Love (2014)', 'Success Is the Best Revenge (1984)', 'The Festival (2018)', 'The Moonstone (1997)', 'Urban Warriors (1987)', 'Wild Geese, The (1978)', 'Your Inner Fish (2014)']","['Feather (2016)', 'Mumbai Police (2013)', 'Jolly Fellows (2009)', 'The Moonstone (1997)', 'Gosford Park (2001)', 'Love Serenade (1996)']"
760,8,50,APP,"['Carcinoma (2014)', 'Dear Zindagi (2016)', 'Last of the Red Hot Lovers (1972)']",['Last of the Red Hot Lovers (1972)']
761,4,50,APP,['Freedomfighters (Libertarias) (1996)'],['Freedomfighters (Libertarias) (1996)']
762,4,50,APP,['Zero to Hero (2021)'],['Love Serenade (1996)']
763,8,50,APP,"['Jolly Fellows (2009)', 'Mumbai Police (2013)', 'Varg Veum - The Writing on the Wall (2010)']",['Jolly Fellows (2009)']
764,2,50,APP,"['Deprogrammed (2015)', 'Hotel Belgrade (2020)', 'Last of the Red Hot Lovers (1972)', 'The Festival (2018)', 'Varg Veum - The Writing on the Wall (2010)']",['Deprogrammed (2015)']
765,8,50,LMS,"['Death Metal Angola (2014)', 'The Festival (2018)', 'Wild Geese, The (1978)']",['The Last Movie']
766,2,50,LMS,['Freedomfighters (Libertarias) (1996)'],['The Moonstone (1997)']
767,4,50,APP,"['4th Period Mystery (2009)', 'Café Derby (2015)', 'Jazz Singer, The (1980)', 'Khottabych (2006)', 'Lilting (2014)', 'Resan Till Melonia (1989)', 'Selfie (2019)', 'Shirin in Love (2014)', 'Soulcatcher (2023)', 'That Burning Feeling (2014)', 'The Festival (2018)', 'The Male Gaze: Nocturnal Instincts (2021)', 'The Moonstone (1997)']","['Lilting (2014)', 'Choose or Die (2022)', 'Shirin in Love (2014)']"
768,8,50,APP,"['Headfirst (2014)', 'Lilting (2014)', 'Three Little Bops (1957)']",['The Last Laugh (1924)']
769,4,50,ADD,['Khottabych (2006)'],"['Jolly Fellows (2009)', 'Hotel Belgrade (2020)']"
770,4,50,LMS,['Urban Warriors (1987)'],"['Soulcatcher (2023)', 'Zero to Hero (2021)']"
771,2,50,LMS,"['Creepshow 3 (2006)', 'Husband Factor (2015)']","['In Bed (En la cama) (2005)', 'Love in the Time of Algorithms']"
772,4,50,MPL,"['4th Period Mystery (2009)', 'Café Derby (2015)', 'Carcinoma (2014)', 'Curse of the Witching Tree (2015)', 'Death Metal Angola (2014)', 'Deprogrammed (2015)', 'Feather (2016)', 'Flickering Lights (Blinkende lygter) (2000)', 'Gosford Park (2001)', 'Jazz Singer, The (1980)', 'Khottabych (2006)', 'Little Murder (2011)', 'Living It Up (1954)', 'Mumbai Police (2013)', 'The Decline (2020)', 'The Male Gaze: Nocturnal Instincts (2021)', 'The Moonstone (1997)', 'Three Little Bops (1957)', 'Varg Veum - The Writing on the Wall (2010)', 'Your Inner Fish (2014)']","['Gosford Park (2001)', 'Mumbai Police (2013)', 'Living It Up (1954)', 'The Moonstone (1997)']"
773,8,50,ADD,['Museum (2016)'],['Woodland (2018)']
774,2,50,MPL,"['Choose or Die (2022)', 'Freedomfighters (Libertarias) (1996)', 'Hotel Belgrade (2020)', 'Husband Factor (2015)', 'Living It Up (1954)', 'Love Serenade (1996)', 'Too Beautiful for You (Trop belle pour toi) (1989)', 'Urban Warriors (1987)', 'Wild Geese, The (1978)', 'Your Inner Fish (2014)']","['Too Beautiful for You (Trop belle pour toi) (1989)', 'Choose or Die (2022)', 'Wild Geese, The (1978)', 'Living It Up (1954)', 'Love Serenade (1996)', 'Husband Factor (2015)']"
775,2,50,LMS,"['Café Derby (2015)', 'Love Serenade (1996)', 'Resan Till Melonia (1989)']",['Curse of the Witching Tree (2015)']
776,2,50,ADD,['Lilting (2014)'],['Lilting (2014)']
777,2,50,MPL,"['Death Metal Angola (2014)', 'Just Before Losing Everything (2013)', 'Selfie (2019)', 'Soulcatcher (2023)', 'That Burning Feeling (2014)', 'The Festival (2018)', 'Urban Warriors (1987)', 'Varg Veum - The Writing on the Wall (2010)']","['Urban Warriors (1987)', 'Just Before Losing Everything (2013)', 'Death Metal Angola (2014)']"
