groupId,group_size,num_items,strategy,gold_label,phi
751,4,50,ADD,['item_20'],['item_9']
752,2,50,LMS,['item_33'],"['[""item_33""]']"
753,4,50,ADD,['item_21'],"['item_13', 'item_22']"
754,8,50,APP,"['item_1', 'item_35']","['item_1', 'item_3', 'item_6', 'item_7', 'item_8', 'item_9', 'item_11', 'item_12', 'item_13', 'item_15', 'item_16', 'item_17', 'item_18', 'item_19', 'item_20', 'item_21', 'item_22', 'item_23', 'item_24', 'item_25', 'item_26', 'item_27', 'item_28', 'item_29', 'item_30', 'item_31', 'item_32', 'item_33', 'item_34', 'item_35', 'item_36', 'item_37', 'item_38', 'item_39', 'item_40', 'item_42', 'item_46', 'item_47']"
755,4,50,ADD,['item_18'],"['item_15', 'item_25', 'item_35']"
756,2,50,ADD,"['item_13', 'item_22', 'item_29']","['item_21, item_22']"
757,8,50,ADD,['item_10'],['item_34']
758,2,50,LMS,"['item_17', 'item_18']","['[item_17, item_18]']"
759,8,50,ADD,['item_30'],['item_40']
760,8,50,ADD,['item_8'],['item_36']
761,4,50,APP,['item_45'],"['item_1, item_2, item_5, item_7, item_9, item_12, item_21, item_22, item_25, item_45, item_49']"
762,4,50,MPL,"['item_11', 'item_13', 'item_16', 'item_22', 'item_23', 'item_24', 'item_25', 'item_27', 'item_28', 'item_4', 'item_41', 'item_43', 'item_44', 'item_47', 'item_49', 'item_6', 'item_7', 'item_8']","['item_6', 'item_7', 'item_8', 'item_22', 'item_23']"
763,8,50,APP,"['item_15', 'item_39', 'item_6']",['item_44']
764,2,50,ADD,['item_33'],['item_33']
765,8,50,APP,"['item_13', 'item_2', 'item_28', 'item_5']","['item_1', 'item_3', 'item_5', 'item_8', 'item_9', 'item_11', 'item_13', 'item_15', 'item_17', 'item_19', 'item_21', 'item_23', 'item_25', 'item_27', 'item_29', 'item_31', 'item_33', 'item_35', 'item_38', 'item_39']"
766,2,50,MPL,"['item_1', 'item_10', 'item_16', 'item_21', 'item_24', 'item_33', 'item_34', 'item_43', 'item_48']","['[""item_16"", ""item_34""]']"
768,8,50,ADD,['item_19'],['item_37']
769,4,50,APP,['item_25'],['item_25']
770,4,50,ADD,['item_46'],"['item_16', 'item_25', 'item_34', 'item_43']"
