groupId,group_size,num_items,strategy,gold_label,phi
751,4,50,LMS,['item_21'],"['item_20', 'item_21', 'item_19', 'item_23', 'item_25']"
752,2,50,ADD,['item_33'],['item_33']
753,4,50,APP,['item_17'],"['item_21', 'item_34', 'item_40', 'item_44', 'item_50']"
754,8,50,ADD,['item_1'],"['item_24', 'item_25', 'item_27', 'item_28', 'item_45']"
755,4,50,ADD,['item_18'],"['item_18', 'item_23', 'item_21', 'item_45', 'item_27']"
756,2,50,ADD,"['item_13', 'item_22', 'item_29']","['item_13', 'item_22', 'item_29']"
757,8,50,LMS,['item_10'],"['item_32', 'item_30', 'item_34', 'item_36', 'item_48']"
758,2,50,ADD,"['item_17', 'item_18']","['item_17', 'item_18']"
759,8,50,ADD,['item_30'],"['item_37', 'item_40', 'item_38', 'item_24', 'item_30']"
760,8,50,APP,"['item_32', 'item_38', 'item_8']","['item_33', 'item_36', 'item_48', 'item_24', 'item_32']"
761,4,50,MPL,"['item_1', 'item_12', 'item_15', 'item_18', 'item_2', 'item_20', 'item_21', 'item_24', 'item_30', 'item_33', 'item_36', 'item_40', 'item_41', 'item_45', 'item_48', 'item_50', 'item_7', 'item_9']","['item_9', 'item_12', 'item_21', 'item_45', 'item_49']"
762,4,50,APP,['item_15'],"['item_23', 'item_25', 'item_15', 'item_19', 'item_43']"
763,8,50,ADD,"['item_12', 'item_15']","['item_44', 'item_28', 'item_25', 'item_41', 'item_37']"
765,8,50,MPL,"['item_10', 'item_11', 'item_12', 'item_13', 'item_14', 'item_15', 'item_16', 'item_17', 'item_18', 'item_23', 'item_24', 'item_25', 'item_26', 'item_28', 'item_29', 'item_3', 'item_30', 'item_32', 'item_33', 'item_36', 'item_37', 'item_38', 'item_39', 'item_41', 'item_45', 'item_49', 'item_5', 'item_50', 'item_7']","['item_28', 'item_39', 'item_38', 'item_25', 'item_24']"
767,4,50,ADD,"['item_33', 'item_42']","['item_33', 'item_31', 'item_16', 'item_22', 'item_42']"
768,8,50,APP,"['item_19', 'item_28', 'item_4']","['item_25', 'item_28', 'item_32', 'item_33', 'item_37']"
769,4,50,ADD,['item_25'],"['item_25', 'item_16', 'item_35', 'item_9', 'item_19']"
770,4,50,MPL,"['item_14', 'item_17', 'item_20', 'item_22', 'item_23', 'item_26', 'item_31', 'item_33', 'item_35', 'item_38', 'item_39', 'item_45', 'item_46', 'item_5', 'item_6', 'item_8']","['item_46', 'item_17', 'item_33', 'item_16', 'item_15']"
771,2,50,MPL,"['item_27', 'item_29', 'item_3', 'item_37', 'item_39', 'item_4', 'item_43', 'item_44', 'item_5', 'item_6', 'item_9']","['item_3', 'item_4', 'item_5', 'item_27', 'item_29', 'item_43', 'item_44']"
772,4,50,MPL,"['item_1', 'item_14', 'item_15', 'item_17', 'item_22', 'item_23', 'item_24', 'item_25', 'item_26', 'item_30', 'item_31', 'item_33', 'item_38', 'item_39', 'item_42', 'item_45', 'item_48', 'item_50', 'item_6', 'item_8']","['item_15', 'item_33', 'item_48', 'item_6', 'item_14']"
773,8,50,APP,"['item_1', 'item_36', 'item_5']","['item_36', 'item_37', 'item_39', 'item_48', 'item_50']"
774,2,50,ADD,['item_30'],['item_30']
775,2,50,ADD,"['item_18', 'item_20', 'item_26']","['item_18', 'item_20', 'item_26']"
776,2,50,ADD,['item_15'],['item_15']
777,2,50,ADD,"['item_10', 'item_6']","['item_6', 'item_10']"
778,2,50,ADD,['item_36'],['item_36']
779,8,50,ADD,['item_3'],"['item_25', 'item_27', 'item_31', 'item_40']"
780,4,50,APP,"['item_10', 'item_9']","['item_16', 'item_32', 'item_33', 'item_10', 'item_34']"
782,4,50,LMS,['item_9'],"['item_9', 'item_37', 'item_10', 'item_19', 'item_14']"
783,4,50,MPL,"['item_11', 'item_13', 'item_14', 'item_2', 'item_23', 'item_27', 'item_28', 'item_3', 'item_33', 'item_36', 'item_37', 'item_40', 'item_44', 'item_6', 'item_7', 'item_9']","['item_9', 'item_11', 'item_28', 'item_18', 'item_34']"
784,4,50,LMS,['item_46'],"['item_5', 'item_9', 'item_13', 'item_21', 'item_31']"
