groupId,group_size,num_items,strategy,gold_label,mistral,phi
751,4,50,LMS,"['item_21', 'item_20', 'item_25', 'item_14', 'item_44', 'item_17', 'item_24', 'item_23', 'item_1', 'item_13']","['item_45', 'item_21', 'item_38', 'item_46', 'item_49', 'item_20', 'item_37', 'item_48', 'item_31', 'item_4']","['item_16', 'item_34', 'item_14', 'item_28', 'item_21', 'item_41', 'item_10', 'item_25', 'item_32', 'item_40']"
752,2,50,LMS,"['item_33', 'item_48', 'item_29', 'item_13', 'item_14', 'item_40', 'item_30', 'item_12', 'item_28', 'item_2']","['item_30', 'item_17', 'item_48', 'item_26', 'item_50', 'item_33', 'item_39', 'item_13', 'item_22', 'item_3']","['item_3', 'item_33', 'item_30', 'item_29', 'item_13', 'item_6', 'item_39', 'item_36', 'item_40', 'item_12']"
753,4,50,ADD,"['item_21', 'item_17', 'item_35', 'item_31', 'item_11', 'item_45', 'item_44', 'item_24', 'item_12', 'item_30']","['item_20', 'item_15', 'item_38', 'item_46', 'item_39', 'item_47', 'item_23', 'item_31', 'item_44', 'item_3']","['item_10', 'item_5', 'item_7', 'item_3', 'item_2', 'item_8', 'item_4', 'item_50', 'item_44', 'item_45']"
754,8,50,APP,"['item_1', 'item_35', 'item_25', 'item_2', 'item_16', 'item_7', 'item_46', 'item_23', 'item_27', 'item_29']","['item_37', 'item_46', 'item_48', 'item_49', 'item_50', 'item_41', 'item_43', 'item_42', 'item_47', 'item_40']","['item_35', 'item_46', 'item_47', 'item_48', 'item_34', 'item_36', 'item_39', 'item_40', 'item_42', 'item_49']"
756,2,50,ADD,"['item_13', 'item_29', 'item_22', 'item_1', 'item_21', 'item_46', 'item_44', 'item_38', 'item_33', 'item_24']","['item_21', 'item_22', 'item_47', 'item_39', 'item_40', 'item_50', 'item_13', 'item_46', 'item_49', 'item_38']","['item_13', 'item_22', 'item_29', 'item_21', 'item_1', 'item_9', 'item_19', 'item_24', 'item_33', 'item_34']"
757,8,50,ADD,"['item_10', 'item_32', 'item_34', 'item_30', 'item_21', 'item_20', 'item_50', 'item_12', 'item_45', 'item_2']","['item_43', 'item_40', 'item_46', 'item_48', 'item_50', 'item_41', 'item_42', 'item_49', 'item_47', 'item_44']","['item_34', 'item_50', 'item_45', 'item_38', 'item_48', 'item_39', 'item_42', 'item_46', 'item_37', 'item_44']"
758,2,50,LMS,"['item_17', 'item_18', 'item_32', 'item_31', 'item_46', 'item_21', 'item_22', 'item_12', 'item_34', 'item_23']","['item_17', 'item_10', 'item_42', 'item_31', 'item_35', 'item_46', 'item_2', 'item_9', 'item_18', 'item_32']","['item_17', 'item_18', 'item_21', 'item_22', 'item_12', 'item_15', 'item_23', 'item_29', 'item_32', 'item_40']"
760,8,50,ADD,"['item_8', 'item_36', 'item_32', 'item_33', 'item_2', 'item_27', 'item_46', 'item_48', 'item_38', 'item_44']","['item_46', 'item_47', 'item_48', 'item_38', 'item_40', 'item_41', 'item_49', 'item_50', 'item_42', 'item_43']","['item_36', 'item_33', 'item_46', 'item_48', 'item_38', 'item_41', 'item_44', 'item_39', 'item_47', 'item_49']"
762,4,50,MPL,"['item_24', 'item_6', 'item_47', 'item_28', 'item_27', 'item_43', 'item_25', 'item_4', 'item_23', 'item_22']","['item_22', 'item_19', 'item_48', 'item_37', 'item_20', 'item_5', 'item_26', 'item_11', 'item_43', 'item_3']","['item_4', 'item_6', 'item_8', 'item_9', 'item_1', 'item_23', 'item_43', 'item_12', 'item_18', 'item_30']"
763,8,50,APP,"['item_39', 'item_6', 'item_15', 'item_1', 'item_41', 'item_21', 'item_17', 'item_12', 'item_44', 'item_43']","['item_37', 'item_41', 'item_40', 'item_48', 'item_50', 'item_46', 'item_49', 'item_42', 'item_43', 'item_44']","['item_39', 'item_41', 'item_44', 'item_37', 'item_43', 'item_40', 'item_47', 'item_49', 'item_50', 'item_31']"
