groupId,group_size,num_items,strategy,gold_label,llama,mistral,gemma,phi
1,4,5,LMS,"['item_1', 'item_5']",['item_3'],"['item_3', 'item_5']",['item_1'],"['item_1', 'item_5']"
2,8,5,ADD,['item_1'],"['item_2', 'item_3']","['item_2', 'item_5']","['item_2', 'item_4']",['item_1']
3,4,5,APP,['item_3'],['item_3'],['item_5'],['item_5'],['item_3']
4,8,5,ADD,['item_1'],['item_2'],['item_5'],['item_2'],['item_1']
5,2,5,ADD,['item_5'],['item_2'],"['item_4', 'item_5']","['item_2', 'item_5']",['item_5']
6,8,5,LMS,['item_1'],['item_1'],"['item_3', 'item_5']",['item_1'],['item_1']
7,2,5,ADD,"['item_1', 'item_4']",['item_4'],"['item_4', 'item_5']",['item_4'],"['item_1', 'item_4']"
8,4,5,APP,"['item_2', 'item_3', 'item_4', 'item_5']","['item_1', 'item_2']","['item_1', 'item_3', 'item_4']","['item_3', 'item_2']","['item_2', 'item_3', 'item_4', 'item_5']"
9,2,5,ADD,['item_4'],['item_2'],"['item_3', 'item_4']",['item_2'],['item_4']
10,8,5,ADD,['item_4'],['item_2'],"['item_3', 'item_5']",['item_2'],['item_4']
11,4,5,ADD,['item_5'],['item_5'],"['item_4', 'item_5']","['item_2', 'item_5']",['item_5']
12,4,5,LMS,"['item_1', 'item_3']",['item_1'],"['item_3', 'item_4']",['item_1'],"['item_1', 'item_3']"
13,8,5,ADD,['item_4'],['item_2'],"['item_2', 'item_3']",['item_2'],['item_4']
14,8,5,ADD,['item_4'],['item_2'],"['item_5', 'item_4']","['item_2', 'item_4']",['item_4']
15,8,5,APP,"['item_3', 'item_4']",['item_3'],"['item_3', 'item_5']",['item_4'],"['item_3', 'item_4']"
16,8,5,MPL,"['item_1', 'item_2', 'item_3', 'item_5']",['item_2'],"['item_3', 'item_4']",['item_2'],"['item_1', 'item_2', 'item_3', 'item_5']"
17,8,5,APP,"['item_1', 'item_4']",['item_4'],"['item_1', 'item_4']","['item_4', 'item_1']","['item_1', 'item_4']"
18,8,5,ADD,"['item_1', 'item_3']",['item_2'],"['item_2', 'item_5']",['item_2'],"['item_1', 'item_3']"
19,4,5,APP,['item_4'],['item_4'],"['item_4', 'item_3']",['item_4'],['item_4']
20,8,5,MPL,"['item_1', 'item_5']",['item_3'],"['item_4', 'item_5']",['item_2'],"['item_1', 'item_5']"
21,4,5,LMS,['item_1'],['item_4'],"['item_4', 'item_5']","['item_1', 'item_3']",['item_1']
22,2,5,ADD,['item_4'],['item_4'],"['item_4', 'item_5']",['item_4'],['item_4']
23,2,5,APP,['item_1'],['item_4'],"['item_4', 'item_5']",['item_4'],['item_1']
24,4,5,ADD,"['item_1', 'item_2']",['item_2'],"['item_2', 'item_3', 'item_5']",['item_2'],"['item_1', 'item_2']"
25,2,5,MPL,"['item_1', 'item_2']",['item_2'],['item_2'],['item_2'],"['item_1', 'item_2']"
26,8,5,MPL,"['item_2', 'item_3', 'item_5']",['item_2'],['item_2'],['item_2'],"['item_2', 'item_3', 'item_5']"
27,2,5,MPL,"['item_3', 'item_5']",['item_5'],['item_3'],['item_3'],"['item_3', 'item_5']"
28,4,5,APP,['item_3'],['item_1'],"['item_3', 'item_4']","['item_3', 'item_4']",['item_3']
29,2,5,ADD,['item_3'],['item_2'],"['item_3', 'item_5']",['item_3'],['item_3']
30,8,5,ADD,['item_1'],['item_5'],['item_5'],['item_2'],['item_1']
31,2,5,ADD,['item_3'],['item_3'],"['item_3', 'item_2']",['item_3'],['item_3']
32,2,5,ADD,"['item_1', 'item_2']",['item_2'],['item_2'],['item_2'],"['item_1', 'item_2']"
33,4,5,ADD,['item_1'],['item_2'],"['item_2', 'item_5']","['item_2', 'item_4']",['Item_1']
34,8,5,ADD,['item_4'],['item_2'],"['item_2', 'item_3', 'item_4']",['item_2'],['item_4']
35,8,5,APP,['item_3'],['item_1'],"['item_4', 'item_5']",['item_4'],['item_3']
37,8,5,LMS,"['item_2', 'item_4']",['item_2'],"['item_3', 'item_4']",['item_1'],"['item_2', 'item_4']"
38,2,5,MPL,['item_4'],['item_4'],['item_4'],['item_4'],['item_4']
