groupId,strategy,group_size,item_size,llm_recommendation,gold_recommendation
1,ADD,4,5,"['item_2', 'item_3', 'item_4', 'item_5']","['item_1', 'item_5', 'item_3', 'item_4', 'item_2']"
1,APP,4,5,"['item_1', 'item_2']","['item_1', 'item_5', 'item_2', 'item_3', 'item_4']"
1,LMS,4,5,['item_3'],"['item_1', 'item_5', 'item_2', 'item_3', 'item_4']"
1,MPL,4,5,['item_4'],"['item_3', 'item_5', 'item_4', 'item_1', 'item_2']"
2,ADD,8,5,"['item_2', 'item_4']","['item_1', 'item_4', 'item_2', 'item_3', 'item_5']"
2,APP,8,5,"['item_1', 'item_2']","['item_5', 'item_1', 'item_2', 'item_3', 'item_4']"
2,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_1', 'item_4', 'item_2', 'item_3', 'item_5']"
2,MPL,8,5,['item_2'],"['item_2', 'item_4', 'item_1', 'item_3', 'item_5']"
3,ADD,4,5,['item_2'],"['item_2', 'item_3', 'item_1', 'item_5', 'item_4']"
3,APP,4,5,"['item_1', 'item_2']","['item_3', 'item_1', 'item_2', 'item_5']"
3,LMS,4,5,"['item_1', 'item_2']","['item_2', 'item_4', 'item_1', 'item_3', 'item_5']"
3,MPL,4,5,['item_2'],"['item_5', 'item_1', 'item_2', 'item_3', 'item_4']"
4,ADD,8,5,"['item_1', 'item_2']","['item_1', 'item_5', 'item_4', 'item_2', 'item_3']"
4,APP,8,5,"['item_1', 'item_2']","['item_1', 'item_5', 'item_4', 'item_3', 'item_2']"
4,LMS,8,5,"['item_1', 'item_2']","['item_1', 'item_4', 'item_2', 'item_3', 'item_5']"
4,MPL,8,5,['item_5'],"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
5,ADD,2,5,['item_2'],"['item_5', 'item_1', 'item_4', 'item_2', 'item_3']"
5,APP,2,5,['item_1'],"['item_5', 'item_1', 'item_2', 'item_4']"
5,LMS,2,5,"['item_1', 'item_2']","['item_5', 'item_1', 'item_4', 'item_3', 'item_2']"
5,MPL,2,5,"['item_4', 'item_5']","['item_1', 'item_4', 'item_5', 'item_2', 'item_3']"
6,ADD,8,5,"['item_1', 'item_2']","['item_1', 'item_3', 'item_2', 'item_5', 'item_4']"
6,APP,8,5,"['item_1', 'item_2']","['item_1', 'item_2', 'item_3', 'item_5', 'item_4']"
6,LMS,8,5,"['item_1', 'item_2']","['item_1', 'item_2', 'item_5', 'item_3', 'item_4']"
6,MPL,8,5,"['item_1', 'item_2']","['item_3', 'item_5', 'item_1', 'item_2', 'item_4']"
7,ADD,2,5,['item_3'],"['item_1', 'item_4', 'item_3', 'item_5', 'item_2']"
7,APP,2,5,['item_1'],"['item_1', 'item_4']"
7,LMS,2,5,"['item_1', 'item_2']","['item_1', 'item_3', 'item_5', 'item_4', 'item_2']"
7,MPL,2,5,['item_3'],"['item_4', 'item_1', 'item_3', 'item_5', 'item_2']"
8,ADD,4,5,['item_2'],"['item_2', 'item_5', 'item_4', 'item_3', 'item_1']"
8,APP,4,5,"['item_1', 'item_2']","['item_2', 'item_4', 'item_3', 'item_5', 'item_1']"
8,LMS,4,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_2', 'item_1', 'item_4', 'item_5', 'item_3']"
8,MPL,4,5,['item_2'],"['item_2', 'item_5', 'item_3', 'item_4', 'item_1']"
9,ADD,2,5,['item_2'],"['item_4', 'item_3', 'item_2', 'item_5', 'item_1']"
9,APP,2,5,"['item_1', 'item_2']","['item_4', 'item_2', 'item_3', 'item_5']"
9,LMS,2,5,['item_4'],"['item_4', 'item_3', 'item_2', 'item_5', 'item_1']"
9,MPL,2,5,['item_4'],"['item_3', 'item_4', 'item_2', 'item_5', 'item_1']"
10,ADD,8,5,['item_2'],"['item_4', 'item_1', 'item_2', 'item_3', 'item_5']"
10,APP,8,5,"['item_1', 'item_2']","['item_4', 'item_3', 'item_2', 'item_5', 'item_1']"
10,LMS,8,5,"['item_1', 'item_2']","['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
10,MPL,8,5,['item_2'],"['item_1', 'item_3', 'item_2', 'item_4', 'item_5']"
11,ADD,4,5,['item_5'],"['item_5', 'item_1', 'item_2', 'item_4', 'item_3']"
11,APP,4,5,"['item_1', 'item_3']","['item_5', 'item_1', 'item_2', 'item_3', 'item_4']"
11,LMS,4,5,['item_5'],"['item_5', 'item_1', 'item_2', 'item_3', 'item_4']"
11,MPL,4,5,['item_5'],"['item_5', 'item_4', 'item_1', 'item_2', 'item_3']"
12,ADD,4,5,['item_4'],"['item_3', 'item_1', 'item_4', 'item_5', 'item_2']"
12,APP,4,5,"['item_1', 'item_3']","['item_3', 'item_1', 'item_4', 'item_2', 'item_5']"
12,LMS,4,5,"['item_1', 'item_2']","['item_1', 'item_3', 'item_4', 'item_5', 'item_2']"
12,MPL,4,5,['item_2'],"['item_2', 'item_3', 'item_1', 'item_4', 'item_5']"
13,ADD,8,5,"['item_4', 'item_5']","['item_4', 'item_3', 'item_2', 'item_5', 'item_1']"
13,APP,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_3', 'item_4', 'item_2', 'item_5', 'item_1']"
13,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_3', 'item_1', 'item_2', 'item_4', 'item_5']"
13,MPL,8,5,['item_4'],"['item_2', 'item_5', 'item_3', 'item_4', 'item_1']"
14,ADD,8,5,"['item_4', 'item_5']","['item_4', 'item_1', 'item_5', 'item_2', 'item_3']"
14,APP,8,5,"['item_3', 'item_4']","['item_1', 'item_4', 'item_2', 'item_5', 'item_3']"
14,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_5', 'item_1', 'item_2', 'item_3', 'item_4']"
14,MPL,8,5,['item_4'],"['item_1', 'item_5', 'item_4', 'item_3', 'item_2']"
15,ADD,8,5,"['item_2', 'item_3', 'item_4', 'item_5']","['item_4', 'item_3', 'item_2', 'item_5', 'item_1']"
15,APP,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_3', 'item_4', 'item_2', 'item_5', 'item_1']"
15,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_2', 'item_1', 'item_3', 'item_4', 'item_5']"
15,MPL,8,5,['item_5'],"['item_1', 'item_3', 'item_4', 'item_2', 'item_5']"
16,ADD,8,5,['item_2'],"['item_2', 'item_3', 'item_1', 'item_5', 'item_4']"
16,APP,8,5,['item_2'],"['item_2', 'item_3', 'item_4', 'item_5', 'item_1']"
16,LMS,8,5,"['item_2', 'item_3', 'item_4', 'item_5']","['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
16,MPL,8,5,['item_2'],"['item_1', 'item_2', 'item_3', 'item_5', 'item_4']"
17,ADD,8,5,"['item_4', 'item_5']","['item_4', 'item_1', 'item_5', 'item_2', 'item_3']"
17,APP,8,5,"['item_1', 'item_4']","['item_1', 'item_4', 'item_3', 'item_5', 'item_2']"
17,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_4', 'item_1', 'item_2', 'item_3', 'item_5']"
17,MPL,8,5,['item_5'],"['item_1', 'item_2', 'item_4', 'item_5', 'item_3']"
18,ADD,8,5,"['item_5', 'item_4']","['item_1', 'item_3', 'item_2', 'item_5', 'item_4']"
18,APP,8,5,"['item_1', 'item_2']","['item_5', 'item_4', 'item_1', 'item_3', 'item_2']"
18,LMS,8,5,"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']","['item_2', 'item_4', 'item_3', 'item_1', 'item_5']"
18,MPL,8,5,['item_5'],"['item_1', 'item_2', 'item_3', 'item_4', 'item_5']"
19,ADD,4,5,['item_4'],"['item_4', 'item_3', 'item_2', 'item_1', 'item_5']"
